date,datetime,datetimeEpoch,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windspeed,windgust,winddir,pressure,visibility,cloudcover,uvindex,solarradiation,solarenergy,conditions,icon,stations,day_tempmin,day_tempmax,day_sunrise,day_sunset,resolvedAddress,tz,tzOffset,latitude_src,longitude_src,day_datetime,day_datetimeEpoch,day_temp,day_feelslikemax,day_feelslikemin,day_feelslike,day_dew,day_humidity,day_precip,day_precipprob,day_precipcover,day_preciptype,day_snow,day_snowdepth,day_windgust,day_windspeed,day_winddir,day_pressure,day_cloudcover,day_visibility,day_solarradiation,day_solarenergy,day_uvindex,day_sunriseEpoch,day_sunsetEpoch,day_moonphase,day_conditions,day_description,day_icon,day_stations,day_source
2012-02-08,12:00:00,1328677200,27.2,27.3,17.4,55.6,0.0,0.0,,,,10.8,,63.3,1011.7,20.0,86.7,,,,Partially cloudy,partly-cloudy-day,,21.1,29.1,06:10:57,17:50:40,"12.4,108.355",Asia/Ho_Chi_Minh,7.0,12.4,108.355,2012-02-08,1328634000,24.5,29.5,21.1,24.6,18.2,70.6,0.0,0.0,0.0,,,,,18.0,68.6,1011.1,72.5,20.0,,,,1328656257,1328698240,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48875099999'],obs
date,datetime,datetimeEpoch,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windspeed,windgust,winddir,pressure,visibility,cloudcover,uvindex,solarradiation,solarenergy,conditions,icon,stations,day_tempmin,day_tempmax,day_sunrise,day_sunset,resolvedAddress,tz,tzOffset,latitude_src,longitude_src,day_datetime,day_datetimeEpoch,day_temp,day_feelslikemax,day_feelslikemin,day_feelslike,day_dew,day_humidity,day_precip,day_precipprob,day_precipcover,day_preciptype,day_snow,day_snowdepth,day_windgust,day_windspeed,day_winddir,day_pressure,day_cloudcover,day_visibility,day_solarradiation,day_solarenergy,day_uvindex,day_sunriseEpoch,day_sunsetEpoch,day_moonphase,day_conditions,day_description,day_icon,day_stations,day_source
2012-02-13,12:00:00,1329109200,26.2,25.9,14.0,48.0,0.0,0.0,,,,15.6,,63.3,1012.8,20.0,23.3,,,,Partially cloudy,partly-cloudy-day,,17.7,29.1,06:09:32,17:52:15,"12.4,108.355",Asia/Ho_Chi_Minh,7.0,12.4,108.355,2012-02-13,1329066000,23.0,28.3,17.7,22.8,15.0,64.9,0.0,0.0,0.0,,,,,18.0,68.6,1012.7,17.5,20.0,,,,1329088172,1329130335,0.69,Clear,Clear conditions throughout the day.,clear-day,['48875099999'],obs
date,datetime,datetimeEpoch,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windspeed,windgust,winddir,pressure,visibility,cloudcover,uvindex,solarradiation,solarenergy,conditions,icon,stations,day_tempmin,day_tempmax,day_sunrise,day_sunset,resolvedAddress,tz,tzOffset,latitude_src,longitude_src,day_datetime,day_datetimeEpoch,day_temp,day_feelslikemax,day_feelslikemin,day_feelslike,day_dew,day_humidity,day_precip,day_precipprob,day_precipcover,day_preciptype,day_snow,day_snowdepth,day_windgust,day_windspeed,day_winddir,day_pressure,day_cloudcover,day_visibility,day_solarradiation,day_solarenergy,day_uvindex,day_sunriseEpoch,day_sunsetEpoch,day_moonphase,day_conditions,day_description,day_icon,day_stations,day_source
2012-02-14,12:00:00,1329195600,27.0,27.1,17.4,56.3,0.0,0.0,,,,8.4,,63.3,1011.6,20.0,40.0,,,,Partially cloudy,partly-cloudy-day,,18.4,29.9,06:09:12,17:52:32,"12.4,108.355",Asia/Ho_Chi_Minh,7.0,12.4,108.355,2012-02-14,1329152400,24.0,30.2,18.4,24.1,17.4,68.9,0.0,0.0,0.0,,,,,18.0,74.8,1011.1,35.0,20.0,,,,1329174552,1329216752,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48875099999'],obs
date,datetime,datetimeEpoch,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windspeed,windgust,winddir,pressure,visibility,cloudcover,uvindex,solarradiation,solarenergy,conditions,icon,stations,day_tempmin,day_tempmax,day_sunrise,day_sunset,resolvedAddress,tz,tzOffset,latitude_src,longitude_src,day_datetime,day_datetimeEpoch,day_temp,day_feelslikemax,day_feelslikemin,day_feelslike,day_dew,day_humidity,day_precip,day_precipprob,day_precipcover,day_preciptype,day_snow,day_snowdepth,day_windgust,day_windspeed,day_winddir,day_pressure,day_cloudcover,day_visibility,day_solarradiation,day_solarenergy,day_uvindex,day_sunriseEpoch,day_sunsetEpoch,day_moonphase,day_conditions,day_description,day_icon,day_stations,day_source
2012-02-15,12:00:00,1329282000,27.8,27.9,17.4,53.7,0.0,0.0,,,,1.2,,,1009.5,20.0,80.0,,,,Partially cloudy,partly-cloudy-day,,19.4,30.7,06:08:52,17:52:49,"12.4,108.355",Asia/Ho_Chi_Minh,7.0,12.4,108.355,2012-02-15,1329238800,24.9,31.0,19.4,25.0,17.8,67.3,0.0,0.0,0.0,,,,,7.2,57.1,1009.0,47.5,20.0,,,,1329260932,1329303169,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48875099999'],obs
date,datetime,datetimeEpoch,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windspeed,windgust,winddir,pressure,visibility,cloudcover,uvindex,solarradiation,solarenergy,conditions,icon,stations,day_tempmin,day_tempmax,day_sunrise,day_sunset,resolvedAddress,tz,tzOffset,latitude_src,longitude_src,day_datetime,day_datetimeEpoch,day_temp,day_feelslikemax,day_feelslikemin,day_feelslike,day_dew,day_humidity,day_precip,day_precipprob,day_precipcover,day_preciptype,day_snow,day_snowdepth,day_windgust,day_windspeed,day_winddir,day_pressure,day_cloudcover,day_visibility,day_solarradiation,day_solarenergy,day_uvindex,day_sunriseEpoch,day_sunsetEpoch,day_moonphase,day_conditions,day_description,day_icon,day_stations,day_source
2012-02-16,12:00:00,1329368400,28.9,30.6,20.0,59.0,0.0,0.0,,,,12.0,,90.0,1009.4,20.0,90.0,,,,Partially cloudy,partly-cloudy-day,,20.1,30.2,06:08:30,17:53:05,"12.4,108.355",Asia/Ho_Chi_Minh,7.0,12.4,108.355,2012-02-16,1329325200,25.6,32.0,20.1,26.4,19.7,71.9,0.0,0.0,0.0,,,,,21.6,82.3,1009.2,87.5,20.0,,,,1329347310,1329389585,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48875099999'],obs
