datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,resolvedAddress,tz,tzOffset,queryCost,lat,lon,date
2012-02-13,1329066000,29.1,16.9,22.1,28.3,16.9,22.0,15.4,69.1,0.0,0.0,0.0,,0.0,0.0,,18.0,70.4,1013.7,45.7,20.0,,,,06:09:32,1329088172,17:52:15,1329130335,0.69,type_42,Clearingpm.,partly-cloudy-day,"48875099999,remote",obs,"12.4,108.355",Asia/Ho_Chi_Minh,7.0,24,12.4,108.355,2012-02-13
2012-02-13,1329066000,29.1,16.9,22.1,28.3,16.9,22.0,15.4,69.1,0.0,0.0,0.0,,0.0,0.0,,18.0,70.4,1013.7,45.7,20.0,,,,06:09:32,1329088172,17:52:15,1329130335,0.69,type_42,Clearingpm.,partly-cloudy-day,"48875099999,remote",obs,"12.4,108.355",Asia/Ho_Chi_Minh,7.0,1,12.4,108.355,2012-02-13
2012-02-14,1329152400,29.9,17.4,23.1,30.2,17.4,23.0,16.3,68.6,0.0,0.0,0.0,,0.0,0.0,,18.0,72.5,1012.2,42.2,20.0,,,,06:09:12,1329174552,17:52:32,1329216752,0.72,type_42,Variablecloud.,partly-cloudy-day,"48875099999,remote",obs,"12.4,108.355",Asia/Ho_Chi_Minh,7.0,1,12.4,108.355,2012-02-14
2012-02-15,1329238800,31.0,18.3,24.3,31.0,18.3,24.3,17.4,68.1,0.0,0.0,0.0,,0.0,0.0,,9.7,73.7,1009.9,72.4,20.0,,,,06:08:52,1329260932,17:52:49,1329303169,0.75,type_42,Variablecloud.,partly-cloudy-day,"48875099999,remote",obs,"12.4,108.355",Asia/Ho_Chi_Minh,7.0,1,12.4,108.355,2012-02-15
2012-02-16,1329325200,30.2,20.1,24.6,32.0,20.1,25.0,19.6,75.2,0.0,0.0,0.0,,0.0,0.0,,21.6,74.1,1010.4,95.3,20.0,,,,06:08:30,1329347310,17:53:05,1329389585,0.8,type_41,Overcast.,cloudy,"48875099999,remote",obs,"12.4,108.355",Asia/Ho_Chi_Minh,7.0,1,12.4,108.355,2012-02-16
2012-02-17,1329411600,28.3,21.7,23.9,29.8,21.7,24.0,20.1,80.2,1.1,100.0,20.83,rain,0.0,0.0,,18.0,64.4,1011.1,87.0,20.0,,,,06:08:08,1329433688,17:53:20,1329476000,0.83,"type_21, type_42",Variablecloud with rainampm.,rain,"48875099999,remote",obs,"12.4,108.355",Asia/Ho_Chi_Minh,7.0,1,12.4,108.355,2012-02-17
2012-02-18,1329498000,25.1,19.1,21.7,25.1,19.1,21.7,17.3,77.2,1.2,100.0,20.83,rain,0.0,0.0,,21.6,64.7,1013.0,97.5,20.0,,,,06:07:44,1329520064,17:53:35,1329562415,0.87,"type_21, type_41",Overcast with raindefinite.,rain,"48875099999,remote",obs,"12.4,108.355",Asia/Ho_Chi_Minh,7.0,1,12.4,108.355,2012-02-18
2012-02-19,1329584400,20.6,17.8,19.4,20.6,17.8,19.4,17.3,87.4,3.6,100.0,45.83,rain,0.0,0.0,,16.9,61.9,1013.6,99.2,15.0,,,,06:07:20,1329606440,17:53:49,1329648829,0.9,"type_21, type_41",Overcast with rainallday.,rain,"48875099999,remote",obs,"12.4,108.355",Asia/Ho_Chi_Minh,7.0,1,12.4,108.355,2012-02-19
2012-02-20,1329670800,25.1,17.4,20.7,25.1,17.4,20.7,17.3,81.5,0.0,0.0,0.0,,0.0,0.0,,15.8,70.1,1012.2,92.3,17.5,,,,06:06:55,1329692815,17:54:03,1329735243,0.94,type_41,Overcast.,cloudy,"48875099999,remote",obs,"12.4,108.355",Asia/Ho_Chi_Minh,7.0,1,12.4,108.355,2012-02-20
2012-02-21,1329757200,26.9,19.1,22.2,28.4,19.1,22.2,19.0,82.8,0.0,0.0,0.0,,0.0,0.0,,18.0,72.5,1009.9,90.5,20.0,,,,06:06:30,1329779190,17:54:16,1329821656,0.97,type_41,Overcast.,cloudy,"48875099999,remote",obs,"12.4,108.355",Asia/Ho_Chi_Minh,7.0,1,12.4,108.355,2012-02-21
2012-02-22,1329843600,30.3,20.2,24.4,31.8,20.2,24.9,20.3,79.4,0.4,100.0,12.5,rain,0.0,0.0,,10.8,78.3,1009.2,51.0,20.0,,,,06:06:03,1329865563,17:54:29,1329908069,0.0,"type_21, type_42",Variablecloud with rainampm.,rain,"48875099999,remote",obs,"12.4,108.355",Asia/Ho_Chi_Minh,7.0,1,12.4,108.355,2012-02-22
