latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.11001,108.81594,310.49,0.38,0.36,2012-01-20,1817,N,VIIRS,n,2,287.18,0.8,N,0
12.10419,108.77062,331.15,0.4,0.37,2012-02-09,0608,N,VIIRS,n,2,297.36,7.22,D,0
12.10365,108.76688,335.98,0.4,0.37,2012-02-09,0608,N,VIIRS,n,2,295.81,8.45,D,0
12.10891,108.77663,335.37,0.46,0.39,2012-02-10,0549,N,VIIRS,n,2,294.47,6.19,D,0
12.25395,108.79208,333.92,0.38,0.43,2012-03-06,0621,N,VIIRS,n,2,298.21,2.78,D,0
12.27987,108.79319,333.82,0.54,0.42,2012-03-08,0543,N,VIIRS,n,2,295.79,5.97,D,0
12.28412,108.87778,333.62,0.41,0.37,2012-03-12,0608,N,VIIRS,n,2,299.97,4.6,D,0
12.27548,108.89068,337.29,0.41,0.37,2012-03-12,0608,N,VIIRS,n,2,297.87,3.86,D,0
12.12324,108.78034,345.3,0.45,0.39,2012-03-13,0549,N,VIIRS,l,2,292.1,19.19,D,0
12.27953,108.89529,335.86,0.45,0.39,2012-03-13,0549,N,VIIRS,n,2,290.47,6.4,D,0
12.28141,108.77676,336.21,0.47,0.4,2012-03-17,0614,N,VIIRS,n,2,300.53,4.24,D,0
12.20417,108.89404,333.43,0.48,0.4,2012-03-17,0614,N,VIIRS,n,2,299.1,18.48,D,0
12.13348,108.75827,344.74,0.47,0.4,2012-03-17,0614,N,VIIRS,n,2,300.38,7.87,D,0
12.28509,108.7763,336.29,0.47,0.4,2012-03-17,0614,N,VIIRS,n,2,299.06,4.98,D,0
12.28443,108.77724,334.2,0.47,0.4,2012-03-17,0614,N,VIIRS,n,2,299.43,5.81,D,0
12.2079,108.89388,333.55,0.48,0.4,2012-03-17,0614,N,VIIRS,n,2,298.14,18.48,D,0
12.29273,108.85326,339.88,0.39,0.44,2012-03-22,0621,N,VIIRS,n,2,296.66,8.96,D,0
12.29283,108.85426,336.07,0.39,0.44,2012-03-22,0621,N,VIIRS,n,2,296.14,8.79,D,0
12.28638,108.76994,344.04,0.45,0.39,2012-03-29,0549,N,VIIRS,n,2,290.18,32.89,D,0
12.21448,108.84492,348.63,0.39,0.44,2012-04-07,0620,N,VIIRS,n,2,297.33,4.23,D,0
12.25491,108.86974,339.01,0.39,0.44,2012-04-07,0620,N,VIIRS,n,2,298.02,4.68,D,0
12.23905,108.81329,341.49,0.39,0.44,2012-04-07,0620,N,VIIRS,n,2,297.59,3.75,D,0
12.21109,108.88166,335.94,0.39,0.44,2012-04-07,0620,N,VIIRS,n,2,296.84,3.53,D,0
12.21159,108.8854,332.69,0.39,0.44,2012-04-07,0620,N,VIIRS,n,2,296.99,4.26,D,0
12.29531,108.76704,354.73,0.39,0.44,2012-04-07,0621,N,VIIRS,n,2,301.89,13.32,D,0
12.29531,108.82971,334.12,0.39,0.44,2012-04-07,0621,N,VIIRS,n,2,299.02,2.62,D,0
12.22512,108.78609,333.41,0.38,0.36,2012-04-08,0602,N,VIIRS,n,2,299.37,5.42,D,0
12.29238,108.7745,333.87,0.54,0.42,2012-04-09,0543,N,VIIRS,n,2,298.12,9.62,D,0
12.29221,108.7717,345.99,0.54,0.42,2012-04-09,0543,N,VIIRS,n,2,297.23,10.45,D,0
12.24548,108.82,345.97,0.41,0.37,2012-04-13,0608,N,VIIRS,n,2,294.61,8.1,D,0
12.21649,108.81953,329.69,0.59,0.7,2012-05-02,0511,N,VIIRS,n,2,292.35,4.12,D,0
12.2987,108.78722,341.92,0.61,0.54,2012-06-04,0632,N,VIIRS,n,2,287.31,10.19,D,0
12.29846,108.78879,341.71,0.61,0.54,2012-06-04,0632,N,VIIRS,n,2,288.08,9.16,D,0
12.21522,108.80041,332.95,0.57,0.43,2012-06-10,0620,N,VIIRS,n,2,281.96,4.27,D,0
12.24104,108.81023,337,0.57,0.43,2012-06-10,0620,N,VIIRS,n,2,282.68,14.25,D,0
12.24238,108.8076,345.07,0.57,0.43,2012-06-10,0620,N,VIIRS,n,2,282.14,11.9,D,0
12.2717,108.87494,340.43,0.39,0.44,2012-06-10,0620,N,VIIRS,n,2,277.28,6.81,D,0
12.23353,108.84753,344.06,0.55,0.42,2012-06-12,0542,N,VIIRS,n,2,293.96,21.86,D,0
12.23242,108.81686,331.4,0.55,0.43,2012-06-12,0542,N,VIIRS,n,2,294.32,5.47,D,0
12.24878,108.81881,332.91,0.55,0.42,2012-06-12,0542,N,VIIRS,n,2,293.54,2.59,D,0
12.22994,108.78048,330.03,0.55,0.43,2012-06-12,0542,N,VIIRS,n,2,290.86,3.76,D,0
12.25227,108.78207,339.86,0.37,0.58,2012-06-13,0523,N,VIIRS,n,2,275.29,8.54,D,0
12.25176,108.77938,351.09,0.37,0.58,2012-06-13,0523,N,VIIRS,n,2,275.44,7.28,D,0
12.25514,108.78005,334.54,0.37,0.58,2012-06-13,0523,N,VIIRS,n,2,273.89,5.05,D,0
12.25096,108.78132,301.68,0.55,0.43,2012-06-13,1757,N,VIIRS,n,2,282.65,0.93,N,0
12.24975,108.79605,355.94,0.76,0.77,2012-06-14,0504,N,VIIRS,n,2,289.56,16.26,D,0
12.12893,108.74863,300.3,0.37,0.58,2012-06-14,1738,N,VIIRS,n,2,281.14,0.63,N,0
12.24574,108.84413,327.87,0.47,0.64,2012-06-24,0517,N,VIIRS,n,2,291.08,2.61,D,0
12.24931,108.84614,334.85,0.47,0.64,2012-06-24,0517,N,VIIRS,n,2,291.59,4.34,D,0
