latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.26226,108.83717,328.58,0.45,0.47,2019-11-02,0538,N,VIIRS,n,2,283.74,2.62,D,0
12.46538,107.98307,329.53,0.51,0.49,2019-11-02,0538,N,VIIRS,n,2,288.84,3.72,D,0
12.46577,107.98444,331,0.51,0.49,2019-11-02,0538,N,VIIRS,n,2,288.84,4.32,D,0
12.74016,108.80384,343.56,0.44,0.46,2019-11-02,0538,N,VIIRS,n,2,292.21,5.93,D,0
12.75717,108.77558,336.91,0.45,0.47,2019-11-02,0538,N,VIIRS,n,2,291.34,2.46,D,0
12.31977,108.96114,325.47,0.39,0.36,2019-11-06,0603,N,VIIRS,n,2,282.29,1.97,D,0
13.16693,109.14062,331.35,0.51,0.41,2019-11-07,0544,N,VIIRS,n,2,289.85,3.7,D,0
13.1762,109.17239,325.86,0.5,0.41,2019-11-07,0544,N,VIIRS,n,2,288.08,2.55,D,0
12.52278,108.65447,339.36,0.58,0.52,2019-11-13,0531,N,VIIRS,n,2,286.97,7.62,D,0
11.6049,108.39793,331.44,0.45,0.39,2019-11-16,0615,N,VIIRS,n,2,295.14,3.38,D,0
11.87385,108.81258,331.94,0.47,0.4,2019-11-16,0615,N,VIIRS,n,2,296.46,2.71,D,0
12.25529,108.88447,336.82,0.48,0.4,2019-11-16,0615,N,VIIRS,n,2,294.3,15.83,D,0
12.12941,108.17045,330.47,0.42,0.37,2019-11-17,0556,N,VIIRS,n,2,297.53,3.03,D,0
12.80873,107.8298,336.78,0.42,0.38,2019-11-17,0556,N,VIIRS,n,2,301.67,7.24,D,0
12.81503,107.82478,339.78,0.42,0.38,2019-11-17,0556,N,VIIRS,n,2,301.25,2.96,D,0
12.81849,107.8242,329.82,0.42,0.38,2019-11-17,0556,N,VIIRS,n,2,298.07,2.96,D,0
12.42838,108.99049,339.95,0.44,0.46,2019-11-18,0537,N,VIIRS,n,2,294.65,13.44,D,0
12.42664,108.98748,340.35,0.44,0.46,2019-11-18,0537,N,VIIRS,n,2,294.23,13.55,D,0
12.63497,108.71844,337.98,0.45,0.47,2019-11-18,0538,N,VIIRS,n,2,294.19,7.87,D,0
12.70152,108.79556,333.47,0.45,0.47,2019-11-18,0538,N,VIIRS,n,2,291.95,2.68,D,0
12.94283,109.03893,328.72,0.43,0.46,2019-11-18,0538,N,VIIRS,n,2,290.43,1.22,D,0
12.95648,109.09272,339.92,0.42,0.45,2019-11-18,0538,N,VIIRS,n,2,295.89,5.79,D,0
13.19563,109.22137,342.37,0.41,0.45,2019-11-18,0538,N,VIIRS,n,2,297.74,5.09,D,0
13.19341,109.08479,347.84,0.42,0.45,2019-11-18,0538,N,VIIRS,n,2,301.08,36.09,D,0
13.19502,109.08446,344.79,0.42,0.45,2019-11-18,0538,N,VIIRS,n,2,298.05,38.7,D,0
11.70906,108.68629,325.45,0.49,0.65,2019-11-19,0518,N,VIIRS,n,2,295.17,7.42,D,0
12.14294,108.04323,336.7,0.35,0.57,2019-11-20,0640,N,VIIRS,n,2,297.32,3.23,D,0
11.65811,108.33157,333.16,0.39,0.36,2019-11-22,0602,N,VIIRS,n,2,300.44,2.46,D,0
12.03383,107.9581,344.51,0.39,0.36,2019-11-22,0602,N,VIIRS,n,2,297.48,5.8,D,0
12.03715,107.95757,344.38,0.39,0.36,2019-11-22,0602,N,VIIRS,n,2,298.8,18.88,D,0
12.00298,107.89545,330.85,0.39,0.36,2019-11-27,0609,N,VIIRS,n,2,296.74,9.01,D,0
12.06208,107.95071,346.27,0.56,0.69,2019-11-30,0653,N,VIIRS,n,2,284.21,13.5,D,0
12.06143,107.94512,342.2,0.56,0.69,2019-11-30,0653,N,VIIRS,n,2,284.05,8.82,D,0
12.06331,107.95155,326.8,0.56,0.69,2019-11-30,0653,N,VIIRS,n,2,284.59,12.29,D,0
12.06269,107.94601,356.83,0.56,0.69,2019-11-30,0653,N,VIIRS,l,2,285.6,11.71,D,0
12.03138,107.84229,331.31,0.53,0.5,2019-12-01,0634,N,VIIRS,n,2,281.2,6.15,D,0
12.03073,107.83727,327.11,0.53,0.5,2019-12-01,0634,N,VIIRS,n,2,280.12,3.43,D,0
12.19675,108.29765,328.09,0.57,0.52,2019-12-01,0634,N,VIIRS,n,2,281,3.84,D,0
12.19355,108.01042,326.28,0.54,0.51,2019-12-01,0634,N,VIIRS,n,2,281.98,1.93,D,0
12.00803,108.11473,327.44,0.44,0.38,2019-12-02,0615,N,VIIRS,n,2,275.05,2.39,D,0
11.98452,108.45576,300.74,0.46,0.39,2019-12-03,1830,N,VIIRS,n,2,281.76,0.78,N,0
11.94567,107.86819,337.63,0.53,0.5,2019-12-04,0537,N,VIIRS,n,2,293.31,12.61,D,0
12.18159,108.32393,338.65,0.49,0.49,2019-12-04,0537,N,VIIRS,n,2,290.56,5.7,D,0
11.93422,108.36835,345.42,0.54,0.42,2019-12-07,0621,N,VIIRS,n,2,292.79,10.13,D,0
11.98352,108.4669,336.02,0.54,0.42,2019-12-07,0621,N,VIIRS,n,2,293.28,6.09,D,0
11.86688,108.49121,333.86,0.38,0.36,2019-12-08,0602,N,VIIRS,n,2,294.37,2.96,D,0
12.75398,108.25256,335.57,0.38,0.36,2019-12-08,0602,N,VIIRS,n,2,297.2,3.61,D,0
11.91358,108.6129,338,0.57,0.43,2019-12-09,0543,N,VIIRS,n,2,292.11,4.36,D,0
12.53496,108.75573,330.35,0.54,0.42,2019-12-09,0544,N,VIIRS,n,2,288.71,4.33,D,0
13.11763,108.88012,329.9,0.52,0.42,2019-12-09,0544,N,VIIRS,n,2,293.68,2.24,D,0
13.08626,107.82513,338.62,0.4,0.44,2019-12-09,0544,N,VIIRS,n,2,297.5,3.84,D,0
11.88883,108.94061,298.89,0.39,0.36,2019-12-09,1818,N,VIIRS,n,2,285.71,0.26,N,0
13.01535,109.033,301.57,0.54,0.42,2019-12-10,1758,N,VIIRS,n,2,288.8,0.71,N,0
12.51682,108.22701,306.22,0.4,0.44,2019-12-10,1759,N,VIIRS,n,2,288.41,0.75,N,0
11.95288,108.93197,326.87,0.75,0.77,2019-12-11,0506,N,VIIRS,n,2,285.57,5.31,D,0
12.72255,108.71336,325.72,0.75,0.77,2019-12-11,0506,N,VIIRS,n,2,287,4.17,D,0
12.00321,108.18229,329.39,0.45,0.63,2019-12-11,0646,N,VIIRS,n,2,291.96,4.28,D,0
12.59494,108.69533,353.03,0.5,0.66,2019-12-11,0646,N,VIIRS,n,2,291.07,8.72,D,0
12.59493,108.69545,350.62,0.5,0.66,2019-12-11,0646,N,VIIRS,n,2,291.04,8.6,D,0
12.71283,108.80329,329.57,0.51,0.66,2019-12-11,0646,N,VIIRS,n,2,290.14,5.92,D,0
12.7123,108.79875,335.82,0.51,0.66,2019-12-11,0646,N,VIIRS,n,2,290.54,5.92,D,0
12.71208,108.79996,341.8,0.51,0.66,2019-12-11,0646,N,VIIRS,n,2,291.64,6.18,D,0
12.71829,108.79971,334.47,0.51,0.66,2019-12-11,0646,N,VIIRS,n,2,289.11,6.15,D,0
12.89108,108.07986,340.37,0.46,0.63,2019-12-11,0646,N,VIIRS,n,2,292.68,6.49,D,0
12.1891,107.88634,330.91,0.42,0.45,2019-12-12,0627,N,VIIRS,n,2,290,2.85,D,0
12.41768,107.98679,339.39,0.43,0.46,2019-12-12,0627,N,VIIRS,n,2,291.32,3.93,D,0
12.87974,108.10473,335.56,0.44,0.46,2019-12-12,0628,N,VIIRS,n,2,296.07,3.14,D,0
12.02937,109.07378,334.28,0.41,0.37,2019-12-13,0608,N,VIIRS,n,2,292.88,4.12,D,0
