datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,resolvedAddress,tz,tzOffset,queryCost,node,lat,lon,date
2025-12-01,1764522000,26.3,20.9,22.8,26.3,20.9,22.8,20.5,87.4,2.2,100.0,33.33,rain,0.0,0.0,23.0,6.5,0.9,1012.8,74.0,21.2,157.2,13.5,6.0,30.0,05:52:26,1764543146,17:20:03,1764584403,0.37,"type_21, type_42",Variablecloud with rainallday.,rain,remote,obs,"12.2,108.2",Asia/Ho_Chi_Minh,7.0,31,DL_FIRE_SV-C2_684275,12.2,108.2,2025-12-01
2025-12-02,1764608400,26.8,19.6,22.9,28.2,19.6,23.0,20.3,86.2,1.1,100.0,29.17,rain,0.0,0.0,20.5,6.5,296.5,1012.7,59.9,21.7,166.6,14.5,7.0,60.0,05:52:57,1764629577,17:20:17,1764670817,0.41,"type_21, type_42",Variablecloud with raindefinite.,rain,remote,obs,"12.2,108.2",Asia/Ho_Chi_Minh,7.0,31,DL_FIRE_SV-C2_684275,12.2,108.2,2025-12-02
2025-12-03,1764694800,22.3,20.5,21.1,22.3,20.5,21.1,20.4,95.8,12.9,100.0,100.0,rain,0.0,0.0,38.2,6.8,348.2,1013.5,99.2,13.9,46.4,4.1,2.0,30.0,05:53:30,1764716010,17:20:32,1764757232,0.44,"type_21, type_41",Overcast with rainallday.,rain,remote,obs,"12.2,108.2",Asia/Ho_Chi_Minh,7.0,31,DL_FIRE_SV-C2_684275,12.2,108.2,2025-12-03
2025-12-04,1764781200,25.6,19.6,22.1,25.6,19.6,22.1,19.3,84.6,5.6,100.0,25.0,rain,0.0,0.0,41.0,13.7,63.3,1014.3,49.9,19.8,194.0,16.7,8.0,10.0,05:54:02,1764802442,17:20:48,1764843648,0.47,"type_21, type_42",Clearingpm with rainclearinglater.,rain,remote,obs,"12.2,108.2",Asia/Ho_Chi_Minh,7.0,31,DL_FIRE_SV-C2_684275,12.2,108.2,2025-12-04
2025-12-05,1764867600,25.1,18.7,21.3,25.1,18.7,21.3,17.5,79.5,0.0,0.0,0.0,,0.0,0.0,51.8,17.6,54.1,1016.0,76.3,22.3,192.9,16.7,6.0,10.0,05:54:34,1764888874,17:21:05,1764930065,0.5,type_42,Variablecloud.,partly-cloudy-day,remote,obs,"12.2,108.2",Asia/Ho_Chi_Minh,7.0,31,DL_FIRE_SV-C2_684275,12.2,108.2,2025-12-05
2025-12-06,1764954000,24.4,17.2,20.2,24.4,17.2,20.2,16.0,77.9,0.0,0.0,0.0,,0.0,0.0,54.7,19.4,51.9,1015.8,48.8,22.0,227.2,19.6,8.0,10.0,05:55:07,1764975307,17:21:23,1765016483,0.54,type_42,Clearingpm.,partly-cloudy-day,remote,obs,"12.2,108.2",Asia/Ho_Chi_Minh,7.0,31,DL_FIRE_SV-C2_684275,12.2,108.2,2025-12-06
2025-12-07,1765040400,24.4,15.7,19.1,24.4,15.7,19.1,14.9,77.7,0.0,0.0,0.0,,0.0,0.0,37.1,12.2,47.2,1015.5,49.2,23.5,234.1,20.2,8.0,10.0,05:55:39,1765061739,17:21:42,1765102902,0.57,type_42,Variablecloud.,partly-cloudy-day,remote,obs,"12.2,108.2",Asia/Ho_Chi_Minh,7.0,31,DL_FIRE_SV-C2_684275,12.2,108.2,2025-12-07
2025-12-08,1765126800,22.1,14.7,18.2,22.1,14.7,18.2,15.3,83.7,0.5,100.0,16.67,rain,0.0,0.0,46.8,15.8,47.2,1015.0,91.4,13.7,154.2,13.3,6.0,10.0,05:56:12,1765148172,17:22:02,1765189322,0.61,"type_21, type_41",Overcast with rainampm.,rain,remote,obs,"12.2,108.2",Asia/Ho_Chi_Minh,7.0,31,DL_FIRE_SV-C2_684275,12.2,108.2,2025-12-08
2025-12-09,1765213200,22.1,17.6,19.3,22.1,17.6,19.3,17.1,87.2,0.7,100.0,16.67,rain,0.0,0.0,50.8,18.0,47.9,1014.3,99.9,12.8,119.7,10.5,5.0,10.0,05:56:45,1765234605,17:22:23,1765275743,0.64,"type_21, type_41",Overcast with rainpm.,rain,remote,obs,"12.2,108.2",Asia/Ho_Chi_Minh,7.0,31,DL_FIRE_SV-C2_684275,12.2,108.2,2025-12-09
2025-12-10,1765299600,23.3,18.7,20.4,23.3,18.7,20.4,19.6,95.5,5.7,100.0,62.5,rain,0.0,0.0,36.0,10.1,47.3,1013.4,85.3,4.5,76.6,6.6,3.0,10.0,05:57:17,1765321037,17:22:44,1765362164,0.67,"type_21, type_42",Variablecloud with rainallday.,rain,remote,obs,"12.2,108.2",Asia/Ho_Chi_Minh,7.0,31,DL_FIRE_SV-C2_684275,12.2,108.2,2025-12-10
